S.No,setpoint_raw-global_Time,setpoint_raw-global_header.seq,setpoint_raw-global_header.stamp.secs,setpoint_raw-global_latitude,setpoint_raw-global_longitude,setpoint_raw-global_altitude,battery_Time,battery_header.seq,battery_header.stamp.secs,battery_voltage,battery_current,battery_temperature,battery_percentage,global_position-local_Time,global_position-local_header.seq,global_position-local_header.stamp.secs,global_position-local_pose.pose.position.x,global_position-local_pose.pose.position.y,global_position-local_pose.pose.position.z,global_position-local_pose.pose.orientation.x,global_position-local_pose.pose.orientation.y,global_position-local_pose.pose.orientation.z,global_position-local_twist.twist.linear.x,global_position-local_twist.twist.linear.y,global_position-local_twist.twist.linear.z,imu-data_Time,imu-data_header.seq,imu-data_header.stamp.secs,imu-data_orientation.x,imu-data_orientation.y,imu-data_orientation.z,imu-data_orientation.w,imu-data_angular_velocity.x,imu-data_angular_velocity.y,imu-data_angular_velocity.z,rc-out_Time,rc-out_header.seq,rc-out_header.stamp.secs,rc-out_channels_0,rc-out_channels_1,rc-out_channels_2,rc-out_channels_3,rc-out_channels_4,vfr_hud_Time,vfr_hud_header.seq,vfr_hud_header.stamp.secs,vfr_hud_airspeed,vfr_hud_groundspeed,vfr_hud_heading,vfr_hud_throttle,vfr_hud_altitude,vfr_hud_climb,global_position-global_header.stamp.secs,global_position-global_altitude,global_position-global_longitude,global_position-global_latitude,global_position-raw-satellites_data,setpoint_raw-target_global_Time,setpoint_raw-target_global_header.seq,setpoint_raw-target_global_header.stamp.secs,setpoint_raw-target_global_latitude,setpoint_raw-target_global_longitude,setpoint_raw-target_global_altitude,setpoint_raw-target_global_yaw,state_Time,state_header.seq,state_connected,state_armed,state_guided,state_manual_input,state_system_status,RSSI_Time,RSSI_Quality,RSSI_Signal,CPU_Time,CPU_Percent,RAM_Time,Used_RAM_MB
0,1729873797.941646,351,0,33.63657556517288,72.99152084967098,1.25,1729873780.9182303,8469,1729873780,0.2290000021457672,0.01,0,-0.01,1729873780.9159615,8455,1729873779,-1.484539777,-13.4995274,-1.035,-0.017594134,0.008880247,-0.589989627,0,0,0,1729873780.916331,8458,1729873779,-0.017541371,0.008772982,-0.589743123,-0.807352701,-0.001081552,0.000857396,-1.04E-05,1729873780.9175453,8464,1729873780,1000,1000,1000,1000,0,1729873781.0025487,8468,1729873781,0.023979558,0.023869762,17,0,550.4299926757812,-0.002292078,1729873779,503.7033283191065,72.9915058,33.6365194,13,1729873798.0181384,223,1729873798,33.6365755,72.9915207,551.5599975585938,1.5707963705062866,1729873780.9180114,1094,1,0,0,1,5,1729873786.688936,0.9571428571428572,-43,1729873786.592512,6.2,1729873788.924926,5.5
1,1729873797.948842,355,0,33.63657556517288,72.99152084967098,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1729873798.0997562,1648,0,33.63657570401417,72.99152090057824,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1729873798.1078398,1699,0,33.63657570401417,72.99152090057824,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1729873798.2095213,1826,0,33.63657570401417,72.99152090057824,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1729873798.2156825,1827,0,33.63657570401417,72.99152090057824,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1729873798.2157094,1866,0,33.63657595855939,72.99152058386959,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1729873798.2159026,2480,0,33.63657595855939,72.99152058386959,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1729873798,2542,0,33.63657595855939,72.99152058386959,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1729873798.2161806,2543,0,33.63657595855939,72.99152058386959,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1729873798.2227569,2627,0,33.63657595855939,72.99152058386959,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1729873798.2333307,2637,0,33.63657628676512,72.99152018793666,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1729873798.380846,3415,0,33.63657628676512,72.99152018793666,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1729873798.3837607,3886,0,33.63657648167668,72.99151995915997,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1729873798.4028745,4045,0,33.63657648167668,72.99151995915997,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1729873798.4227202,4206,0,33.63657648167668,72.99151995915997,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1729873798.5547874,5001,0,33.63657653578378,72.99151969646728,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1729873798.559253,5002,0,33.63657653578378,72.99151969646728,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1729873798.5593116,5264,0,33.63657645805069,72.99151968664505,1.25,1729873780.9186711,8470,1729873780,0.2349999994039535,0.01,0,-0.01,1729873780.916091,8456,1729873779,-1.484539781,-13.51061989,-1.028,-0.017577877,0.008832119,-0.589951323,0.01,0,0,1729873780.916524,8459,1729873780,-0.017552387,0.008829307,-0.589615117,-0.807445336,9.470060467720032e-05,9.24337655305862e-05,-0.000467575,1729873780.9177868,8465,1729873780,1000,1000,1000,1000,0,1729873781.102466,8469,1729873781,0.022747679,0.022359364,17,0,550.4299926757812,-0.004185167,1729873779,503.7033283191065,72.9915058,33.6365194,13,,,,,,,,,,,,,,,,,,,,,
19,1729873798.7278423,5842,0,33.63657632023284,72.99151984832352,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1729873798.730797,6472,0,33.63657622023284,72.99151974832354,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1729873798.730976,6612,0,33.63657622023284,72.99151974832354,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1729873798.731007,6613,0,33.63657622023284,72.99151974832354,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1729873798.9006636,7113,0,33.63657608005605,72.99151991516923,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1729873798.9059458,7419,0,33.63657608005605,72.99151991516923,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1729873798.9059918,7633,0,33.63657584750443,72.99151997521331,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1729873798.906651,7635,0,33.63657584750443,72.99151997521331,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1729873798.906695,7636,0,33.63657584750443,72.99151997521331,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
